age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
22, Private, 10th,6, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
29, Private, 10th,6, Married-civ-spouse, Farming-fishing, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
27, Private, 10th,6, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, Mexico, <=50K
40, Private, 10th,6, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,32, United-States, <=50K
26, Private, 10th,6, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
26, Private, 10th,6, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
25, Private, 10th,6, Married-civ-spouse, Protective-serv, Wife, Black, Female,0,0,50, United-States, <=50K
52, Private, 10th,6, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
24, Private, 10th,6, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
28, Private, 10th,6, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,0,48, Guatemala, <=50K
29, Private, 10th,6, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, 10th,6, Married-civ-spouse, Other-service, Wife, White, Female,2635,0,40, United-States, <=50K
32, Private, 10th,6, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,35, United-States, <=50K
81, Self-emp-inc, 10th,6, Married-civ-spouse, Exec-managerial, Wife, White, Female,2936,0,28, United-States, <=50K
55, Private, 10th,6, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, United-States, <=50K
58, Self-emp-not-inc, 10th,6, Married-civ-spouse, Craft-repair, Wife, White, Female,0,1977,35, ?, >50K
56, Private, 10th,6, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,0,30, Japan, >50K
59, Self-emp-not-inc, 10th,6, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,36, United-States, <=50K
22, Private, 10th,6, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
25, Private, 10th,6, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
28, Federal-gov, 10th,6, Married-civ-spouse, Other-service, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
45, Private, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,32, United-States, <=50K
42, Private, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
47, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States, <=50K
32, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
59, Private, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,3908,0,28, United-States, <=50K
60, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,30, Hong, <=50K
43, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,25, United-States, <=50K
54, Private, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,43, United-States, <=50K
49, Private, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,6, United-States, <=50K
56, Self-emp-not-inc, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
44, Private, 11th,7, Married-civ-spouse, Prof-specialty, Wife, White, Female,5178,0,36, United-States, >50K
35, Private, 11th,7, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
48, Private, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
28, Private, 11th,7, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Mexico, <=50K
38, Private, 11th,7, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,32, United-States, <=50K
45, Local-gov, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
46, Private, 11th,7, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,35, United-States, >50K
29, Self-emp-not-inc, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,5, United-States, <=50K
49, Private, 11th,7, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,60, United-States, <=50K
22, Private, 11th,7, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20, United-States, <=50K
45, Private, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,36, United-States, <=50K
29, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,2829,0,14, Philippines, <=50K
30, Private, 11th,7, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,30, United-States, <=50K
54, Private, 11th,7, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, United-States, >50K
25, Private, 12th,8, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
35, Private, 12th,8, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,50, United-States, <=50K
41, Private, 12th,8, Married-civ-spouse, Other-service, Wife, White, Female,0,0,10, United-States, <=50K
58, Private, 12th,8, Married-civ-spouse, Other-service, Wife, White, Female,0,0,24, United-States, <=50K
37, Private, 12th,8, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,0,33, ?, <=50K
31, State-gov, 12th,8, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
53, Private, 12th,8, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
61, Private, 12th,8, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
31, State-gov, 12th,8, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States, >50K
21, Self-emp-not-inc, 12th,8, Married-civ-spouse, Adm-clerical, Wife, White, Female,4508,0,30, Portugal, <=50K
26, Private, 12th,8, Married-civ-spouse, Priv-house-serv, Wife, Other, Female,0,0,40, Dominican-Republic, <=50K
31, Self-emp-not-inc, 12th,8, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,0,50, ?, <=50K
33, Private, 12th,8, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
45, Private, 12th,8, Married-civ-spouse, Adm-clerical, Wife, Black, Female,3103,0,40, United-States, >50K
30, Local-gov, 12th,8, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
45, Private, 1st-4th,2, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, El-Salvador, <=50K
45, Private, 1st-4th,2, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
44, Private, 1st-4th,2, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
23, Private, 1st-4th,2, Married-civ-spouse, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Female,0,0,35, Mexico, <=50K
42, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,38, Mexico, <=50K
43, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,40, Vietnam, >50K
46, Private, 5th-6th,3, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,45, Italy, <=50K
43, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,2129,72, ?, <=50K
41, Private, 5th-6th,3, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,40, Mexico, <=50K
53, Private, 5th-6th,3, Married-civ-spouse, Priv-house-serv, Wife, Black, Female,0,0,10, Haiti, <=50K
50, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,35, Philippines, <=50K
32, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,40, Laos, >50K
52, Private, 5th-6th,3, Married-civ-spouse, Sales, Wife, White, Female,0,0,15, El-Salvador, <=50K
35, Self-emp-not-inc, 5th-6th,3, Married-civ-spouse, Other-service, Wife, White, Female,0,0,15, Mexico, <=50K
47, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,35, United-States, <=50K
38, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,50, Canada, >50K
46, Private, 7th-8th,4, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,45, United-States, <=50K
49, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, Hong, <=50K
34, Private, 7th-8th,4, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
56, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,5013,0,45, United-States, <=50K
29, Private, 7th-8th,4, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, Mexico, <=50K
29, Private, 7th-8th,4, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
47, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, Other, Female,0,0,40, Puerto-Rico, <=50K
59, Private, 7th-8th,4, Married-civ-spouse, Other-service, Wife, White, Female,0,0,99, United-States, <=50K
60, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
52, Private, 7th-8th,4, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States, <=50K
42, Self-emp-not-inc, 7th-8th,4, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,50, United-States, <=50K
27, Private, 7th-8th,4, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
60, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
44, Private, 7th-8th,4, Married-civ-spouse, Other-service, Wife, White, Female,0,0,55, United-States, <=50K
50, Private, 7th-8th,4, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, ?, <=50K
44, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, Dominican-Republic, <=50K
64, State-gov, 7th-8th,4, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, United-States, <=50K
19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K
53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35, ?, <=50K
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States, >50K
41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, >50K
42, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
44, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
30, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,60, United-States, <=50K
35, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States, <=50K
34, Private, HS-grad,9, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,32, United-States, <=50K
44, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
46, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
59, Local-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,38, United-States, >50K
47, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,75, Italy, <=50K
23, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Mexico, <=50K
44, State-gov, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
38, State-gov, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
29, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,1977,25, United-States, >50K
69, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,5178,0,40, United-States, >50K
49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, >50K
49, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States, <=50K
33, Local-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,60, United-States, <=50K
45, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,1740,40, United-States, <=50K
71, Self-emp-inc, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20, United-States, >50K
50, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
53, State-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,40, United-States, >50K
49, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,43, United-States, <=50K
49, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, United-States, >50K
44, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Italy, >50K
46, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,7688,0,40, United-States, >50K
31, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
42, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,53, United-States, <=50K
44, Local-gov, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,38, Jamaica, >50K
47, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States, >50K
60, Private, HS-grad,9, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States, >50K
24, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, Black, Female,0,0,54, Dominican-Republic, >50K
28, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,5013,0,20, United-States, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,55, United-States, <=50K
54, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,30, United-States, <=50K
19, Federal-gov, HS-grad,9, Married-AF-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,60, United-States, <=50K
26, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
53, Local-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States, >50K
39, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
64, Self-emp-inc, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,20051,0,40, ?, >50K
33, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States, >50K
31, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,15024,0,40, United-States, >50K
35, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,16, United-States, >50K
61, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Wife, White, Female,22040,0,40, United-States, <=50K
45, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,50, United-States, <=50K
44, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,38, United-States, <=50K
39, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,36, United-States, <=50K
70, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,5, United-States, <=50K
50, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
44, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
46, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
41, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Wife, White, Female,0,0,20, United-States, <=50K
36, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,20, South, <=50K
26, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,56, United-States, <=50K
36, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,32, United-States, <=50K
25, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,30, United-States, <=50K
46, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,21, Trinadad&Tobago, <=50K
37, Local-gov, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
43, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,36, Portugal, >50K
41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,5013,0,40, United-States, <=50K
55, Private, HS-grad,9, Married-civ-spouse, Priv-house-serv, Wife, White, Female,0,0,30, United-States, <=50K
36, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,7688,0,40, United-States, >50K
49, Self-emp-inc, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,2377,40, United-States, >50K
49, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,30, United-States, <=50K
32, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
51, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Black, Female,3411,0,38, United-States, <=50K
50, Local-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, United-States, >50K
33, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,1740,25, United-States, <=50K
24, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,55, United-States, <=50K
54, Local-gov, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
39, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
32, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
32, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Wife, White, Female,4064,0,22, United-States, <=50K
42, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
63, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Wife, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
37, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,30, United-States, >50K
29, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,36, United-States, <=50K
61, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,2414,0,5, United-States, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,52, United-States, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
46, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,35, United-States, >50K
58, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, Greece, <=50K
55, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,30, United-States, >50K
38, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
35, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,38, United-States, <=50K
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,20, United-States, >50K
20, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Mexico, <=50K
63, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,3471,0,40, United-States, <=50K
20, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, Peru, <=50K
24, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
67, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,2, United-States, <=50K
48, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,8, United-States, <=50K
44, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,30, United-States, <=50K
37, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, >50K
40, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,12, United-States, <=50K
35, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,35, United-States, <=50K
29, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
27, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, Dominican-Republic, <=50K
49, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,8, Philippines, <=50K
32, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20, United-States, >50K
29, Local-gov, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,2635,0,40, United-States, <=50K
54, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
25, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, Mexico, <=50K
39, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
29, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20, United-States, <=50K
24, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
